ACCESSIBLE,ADULT_BASEBALL,ADULT_FOOTBALL,ADULT_SOFTBALL,BASKETBALL,BOCCE,BOROUGH,COMMUNITYBOARD,COUNCILDISTRICT,CRICKET,DEPARTMENT,DIMENSIONS,FEATURESTATUS,FIELD_LIGHTED,FIELD_NUMBER,FLAGFOOTBALL,FRISBEE,GISPROPNUM,HANDBALL,HOCKEY,KICKBALL,LACROSSE,LL_BASEB_12ANDUNDER,LL_BASEB_13ANDOLDER,LL_SOFTBALL,MAINTENANCEAGREEMENT,NETBALL,NONREGULATION_SOCCER,PRECINCT,PRIMARY_SPORT,Pickleball,REGULATION_SOCCER,RUGBY,STArea,STLength,SURFACE_TYPE,SYSTEM,TENNIS,TRACK_AND_FIELD,T_BALL,VOLLEYBALL,WHEELCHAIRFOOTBALL,YOUTH_FOOTBALL,ZIPCODE,multipolygon
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,01,false,false,B220,true,false,false,false,false,false,false,false,false,false,88,HDB,false,false,false,913.7568511962891,124.32214566309807,Asphalt,B220-HANDBALL-1,false,false,false,false,false,false,11205,"MULTIPOLYGON (((-73.96691425054648 40.69514677723677, -73.96692657738811 40.69521157266887, -73.96706338422756 40.69519697136663, -73.96705105725611 40.69513217504853, -73.96691425054648 40.69514677723677)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,01,false,false,B243,true,false,false,false,false,false,false,false,false,false,84,HDB,false,false,false,1201.8983306884766,143.46673901711884,Asphalt,B243-HANDBALL-5,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.98263793575 40.698096217579355, -73.98254184798131 40.69809281171487, -73.9825340219912 40.698216348210146, -73.9826301123042 40.69821975318095, -73.98263793575 40.698096217579355)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,03,false,false,B243,true,false,false,false,false,false,false,false,false,false,84,HDB,false,false,false,1123.3248596191406,139.97961652986118,Asphalt,B243-HANDBALL-4,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.98244576022195 40.698089407571246, -73.98235598364788 40.69808570804647, -73.98234815849791 40.698209242728346, -73.9824379328715 40.698212942258785, -73.98244576022195 40.698089407571246)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Inactive,false,04,false,false,B243,false,false,false,false,false,false,false,false,false,false,84,HDB,false,false,false,1118.7607116699219,137.23681520257452,Asphalt,B243-HANDBALL-3,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.9826463721866 40.6979812657513, -73.9825502845829 40.69797786079437, -73.98254184798131 40.69809281171487, -73.98263793575 40.698096217579355, -73.9826463721866 40.6979812657513)))"
false,false,false,false,false,false,B,301,34,false,B-01,Handball,Active,false,02,false,false,B055,true,false,false,false,false,false,false,false,false,false,90,HDB,false,false,false,1234.6939849853516,143.7731152292859,Asphalt,B055-HANDBALL-1,false,false,false,false,false,false,11206,"MULTIPOLYGON (((-73.94763355474348 40.70592891070032, -73.94773539527512 40.70592102077773, -73.94771770689232 40.705801934498744, -73.94761599366399 40.70581068355175, -73.94763355474348 40.70592891070032)))"
false,false,false,false,false,false,B,301,33,false,B-01,Handball,Removed,false,02,false,false,B135,true,false,false,false,false,false,false,false,false,false,94,HDB,false,false,false,1952.4813232421875,177.26471721599455,Asphalt,B135-HANDBALL-2,false,false,false,false,false,false,11222,"MULTIPOLYGON (((-73.96022959849545 40.73617202399928, -73.96034794929624 40.73623900405922, -73.96045139300612 40.7361346932871, -73.96033312669167 40.736067123528976, -73.96022959849545 40.73617202399928)))"
false,false,false,false,false,false,B,301,33,false,B-01,Handball,Active,false,02,false,false,B022,true,false,false,false,false,false,false,false,false,false,90,HDB,false,false,false,1211.1073455810547,140.40127855748995,Asphalt,B022-HANDBALL-2,false,false,false,false,false,false,11206,"MULTIPOLYGON (((-73.9557453577393 40.70068097875462, -73.95563737249336 40.70075242613984, -73.95570963533672 40.70081563660072, -73.9558176194238 40.70074419004833, -73.9557453577393 40.70068097875462)))"
false,false,false,false,false,false,B,301,34,false,B-01,Handball,Closed Temporarily,false,03,false,false,B167A,true,false,false,false,false,false,false,false,false,false,90,HDB,false,false,false,1272.9343719482422,147.38134505199451,Asphalt,B167A-HANDBALL-1,false,false,false,false,false,false,11211,"MULTIPOLYGON (((-73.95913029452001 40.709854461306854, -73.95922013523735 40.70988738613481, -73.95929251234956 40.70977363398388, -73.95920267293262 40.709740710112854, -73.95913029452001 40.709854461306854)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,02,false,false,B301,true,false,false,false,false,false,false,false,false,false,88,HDB,false,false,false,1307.3187408447266,147.67881332690368,Asphalt,B301-HANDBALL-1,false,false,false,false,false,false,11238,"MULTIPOLYGON (((-73.96611620962015 40.686489428968365, -73.96595770210638 40.686506443318585, -73.96597246043382 40.686586240400004, -73.96613099626016 40.68656974743535, -73.96611620962015 40.686489428968365)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,02,false,false,B292,true,false,false,false,false,false,false,false,false,false,88,HDB,false,false,false,1113.3185272216797,137.33898764198295,Asphalt,B292-HANDBALL-1,false,false,false,false,false,false,11205,"MULTIPOLYGON (((-73.96286214570321 40.69261968075259, -73.9627684456324 40.692629674087684, -73.96278965551791 40.692745013249954, -73.96288335692972 40.69273502169917, -73.96286214570321 40.69261968075259)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,06,false,false,B021,true,false,false,false,false,false,false,false,false,false,88,HDB,false,false,false,1362.715316772461,149.9998613207618,Asphalt,B021-HANDBALL-3,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.98020402349866 40.697855245609375, -73.98009265301395 40.69785206650202, -73.98008750910066 40.69797303773968, -73.98019887860397 40.697976216851764, -73.98020402349866 40.697855245609375)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,05,false,false,B021,true,false,false,false,false,false,false,false,false,false,88,HDB,false,false,false,1402.022216796875,152.54290249672135,Asphalt,B021-HANDBALL-2,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.98019887860397 40.697976216851764, -73.98008750910066 40.69797303773968, -73.98008172047861 40.69809748484124, -73.98019309018959 40.69810066395888, -73.98019887860397 40.697976216851764)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,07,false,false,B021,true,false,false,false,false,false,false,false,false,false,88,HDB,false,false,false,1402.0298309326172,152.54324188189534,Asphalt,B021-HANDBALL-1,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.9802098118713 40.69773079849781, -73.98009844277743 40.697727619396204, -73.98009265301395 40.69785206650202, -73.98020402349866 40.697855245609375, -73.9802098118713 40.69773079849781)))"
